fpr,tpr,model
0.027515723270440252,0.1666134355371021,LR (None)
0.02830188679245283,0.1666134355371021,LR (None)
0.02830188679245283,0.16703928457361866,LR (None)
0.02869496855345912,0.16703928457361866,LR (None)
0.02869496855345912,0.1679974449057809,LR (None)
0.02908805031446541,0.1679974449057809,LR (None)
0.02908805031446541,0.169594378792718,LR (None)
0.0294811320754717,0.169594378792718,LR (None)
0.0294811320754717,0.16970084105184713,LR (None)
0.029874213836477988,0.16970084105184713,LR (None)
0.029874213836477988,0.17395933141701267,LR (None)
0.030267295597484277,0.17395933141701267,LR (None)
0.030267295597484277,0.17427871819440008,LR (None)
0.030660377358490566,0.17427871819440008,LR (None)
0.030660377358490566,0.17566272756307888,LR (None)
0.031053459119496855,0.17566272756307888,LR (None)
0.031053459119496855,0.17779197274566166,LR (None)
0.031446540880503145,0.17779197274566166,LR (None)
0.031446540880503145,0.17864367081869478,LR (None)
0.031839622641509434,0.17864367081869478,LR (None)
0.031839622641509434,0.18226338762908548,LR (None)
0.03223270440251572,0.18226338762908548,LR (None)
0.03223270440251572,0.1827956989247312,LR (None)
0.03262578616352201,0.1827956989247312,LR (None)
0.03262578616352201,0.18535079314383052,LR (None)
0.0330188679245283,0.18535079314383052,LR (None)
0.0330188679245283,0.18598956669860534,LR (None)
0.03341194968553459,0.18598956669860534,LR (None)
0.03341194968553459,0.18662834025338018,LR (None)
0.03380503144654088,0.18662834025338018,LR (None)
0.03380503144654088,0.18811881188118812,LR (None)
0.03419811320754717,0.18811881188118812,LR (None)
0.03419811320754717,0.18992867028638347,LR (None)
0.03459119496855346,0.18992867028638347,LR (None)
0.03459119496855346,0.19078036835941659,LR (None)
0.03537735849056604,0.19078036835941659,LR (None)
0.03537735849056604,0.19088683061854572,LR (None)
0.035770440251572326,0.19088683061854572,LR (None)
0.035770440251572326,0.1916320664324497,LR (None)
0.036163522012578615,0.1916320664324497,LR (None)
0.036163522012578615,0.1921643777280954,LR (None)
0.036556603773584904,0.1921643777280954,LR (None)
0.036556603773584904,0.1930160758011285,LR (None)
0.036949685534591194,0.1930160758011285,LR (None)
0.036949685534591194,0.19738102842542318,LR (None)
0.03734276729559748,0.19738102842542318,LR (None)
0.03734276729559748,0.1977004152028106,LR (None)
0.03773584905660377,0.1977004152028106,LR (None)
0.03773584905660377,0.19780687746193973,LR (None)
